epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,422.645,1.04902,1.1403,1.12759,0.45468,0.46154,0.46083,0.29159,1.62375,1.99412,1.54766,0.0014456,0.0014456,0.0014456
44,432.496,1.09566,1.1405,1.21756,0.5422,0.38462,0.374,0.1778,2.01971,2.2997,2.26628,0.0014324,0.0014324,0.0014324
45,442.315,1.10787,1.15893,1.18231,0.74568,0.30769,0.42404,0.19692,1.97258,1.99603,2.35364,0.0014192,0.0014192,0.0014192
46,453.168,1.01906,1.02846,1.14172,0.43907,0.46154,0.38579,0.14495,1.94192,2.31229,2.33536,0.001406,0.001406,0.001406
47,464.011,1.04585,1.06286,1.17311,0.49337,0.38462,0.2961,0.1112,2.07423,2.79019,2.5015,0.0013928,0.0013928,0.0013928
48,473.255,1.00282,1.0812,1.17424,0.28945,0.61538,0.34898,0.16308,1.71319,2.80377,1.72099,0.0013796,0.0013796,0.0013796
49,482.302,1.00497,1.00696,1.15018,0.4162,0.61538,0.38169,0.18944,1.59873,2.3196,1.52323,0.0013664,0.0013664,0.0013664
50,491.713,1.03534,1.05381,1.16791,0.33924,0.69231,0.52743,0.25835,1.48889,2.09642,1.44252,0.0013532,0.0013532,0.0013532
51,500.976,1.03589,1.0098,1.13837,0.62116,0.53846,0.61455,0.32804,1.55245,1.90874,1.37317,0.00134,0.00134,0.00134
52,510.415,0.98161,0.98332,1.10027,0.57309,0.72397,0.67247,0.39305,1.55343,1.65308,1.33503,0.0013268,0.0013268,0.0013268
53,519.475,0.96933,0.9667,1.13296,0.63019,0.69231,0.70384,0.37665,1.66604,1.59164,1.39869,0.0013136,0.0013136,0.0013136
54,528.84,1.00664,0.98045,1.13849,0.62054,0.69231,0.63022,0.33179,1.55227,1.81892,1.30849,0.0013004,0.0013004,0.0013004
55,539.594,0.99567,1.00764,1.14898,0.48664,0.76923,0.62168,0.30966,1.68868,1.70259,1.51721,0.0012872,0.0012872,0.0012872
56,552.098,0.97523,0.97628,1.11087,0.91768,0.61538,0.76288,0.43828,1.17457,1.40969,1.10183,0.001274,0.001274,0.001274
57,564.771,0.9976,0.97085,1.13012,0.81391,0.67425,0.73785,0.41755,1.25076,1.65093,1.21386,0.0012608,0.0012608,0.0012608
58,579.11,0.95651,0.90332,1.07731,0.46331,0.53846,0.47449,0.20323,1.79597,2.46004,1.70339,0.0012476,0.0012476,0.0012476
59,591.195,0.91586,0.89588,1.08318,0.47329,0.46154,0.36854,0.15419,1.91458,2.53869,1.90183,0.0012344,0.0012344,0.0012344
60,600.337,0.96659,0.94944,1.13602,0.44803,0.76923,0.57316,0.26936,1.67773,1.99567,1.46578,0.0012212,0.0012212,0.0012212
61,609.63,0.9149,0.90887,1.09929,0.51929,0.76923,0.61833,0.3106,1.72413,1.73631,1.41956,0.001208,0.001208,0.001208
62,618.87,0.97054,0.91992,1.08927,0.60567,0.82785,0.72045,0.3792,1.74135,1.38909,1.50446,0.0011948,0.0011948,0.0011948
63,628.14,0.79909,0.7969,1.04001,0.65531,0.76923,0.74793,0.41887,1.68733,1.33539,1.45407,0.0011816,0.0011816,0.0011816
64,637.289,0.87014,0.85895,1.05462,0.68487,0.69231,0.7575,0.49401,1.26778,1.21417,1.14024,0.0011684,0.0011684,0.0011684
65,646.473,0.8643,0.81435,1.05058,0.63717,0.76923,0.78078,0.5376,1.19614,1.20918,1.11606,0.0011552,0.0011552,0.0011552
66,656.08,0.88008,0.87139,1.07318,0.888,0.61048,0.78642,0.54851,1.14157,1.19276,1.07344,0.001142,0.001142,0.001142
67,665.354,0.88176,0.83627,1.06873,0.57825,0.84386,0.75064,0.45132,1.29222,1.23375,1.12624,0.0011288,0.0011288,0.0011288
68,674.334,0.87888,0.80931,1.07744,0.88874,0.61458,0.77594,0.42835,1.53237,1.22555,1.34809,0.0011156,0.0011156,0.0011156
69,683.612,0.86843,0.85638,1.05011,0.65871,0.59519,0.6152,0.3811,1.6215,1.63773,1.41936,0.0011024,0.0011024,0.0011024
70,693.004,0.91473,0.82517,1.06948,0.53543,0.53846,0.47042,0.2932,1.55984,2.01837,1.43484,0.0010892,0.0010892,0.0010892
71,702.18,0.89747,0.80002,1.08189,0.54412,0.38462,0.40801,0.21327,1.55744,2.34949,1.4562,0.001076,0.001076,0.001076
72,711.471,0.8105,0.7944,1.02573,0.54354,0.61538,0.53823,0.24401,1.73503,1.95755,1.71563,0.0010628,0.0010628,0.0010628
73,720.775,0.8527,0.7891,1.03778,0.52253,0.61538,0.49712,0.1939,1.83986,1.98338,1.76964,0.0010496,0.0010496,0.0010496
74,729.859,0.8415,0.77815,1.03146,0.38306,0.38462,0.3349,0.16105,1.83338,2.1906,1.77166,0.0010364,0.0010364,0.0010364
75,739.061,0.82354,0.75426,1.07095,0.39914,0.46154,0.34142,0.15679,1.81202,2.25352,1.70658,0.0010232,0.0010232,0.0010232
76,748.125,0.8533,0.79814,1.06403,0.49613,0.53073,0.4378,0.26163,1.64937,1.91767,1.55675,0.00101,0.00101,0.00101
77,757.34,0.79845,0.7592,1.03829,0.71021,0.61538,0.62729,0.37881,1.47543,1.71897,1.4086,0.0009968,0.0009968,0.0009968
78,766.379,0.83338,0.78869,1.04771,0.62083,0.53846,0.56256,0.35262,1.50637,1.74646,1.4007,0.0009836,0.0009836,0.0009836
